@Relation RCATransformed
@attribute attr1 numeric
@attribute attr2 numeric
@attribute attr3 numeric
@attribute attr4 numeric
@attribute attr5 numeric
@attribute attr6 numeric
@attribute attr7 numeric
@attribute attr8 numeric
@attribute attr9 numeric
@attribute attr10 numeric
@attribute attr11 numeric
@attribute attr12 numeric
@attribute attr13 numeric
@attribute attr14 numeric
@attribute attr15 numeric
@attribute output {1,2,3,4,5,7}
@data
-147.65071758253103,27.0772556162661,58.6329375904068,16.221172460792616,-82.4501925162835,33.76265518152475,-40.13828958910195,-64.46874984873301,230.16120402583104,70.00703294190663,14.325038111572344,-76.44268974758185,17.930575552519525,56.084163372711885,-91.57978925777041,3
-125.7307022000602,17.413980373529803,53.64126538098397,23.93801204260006,-85.50617740977941,34.376650152747736,-27.104823971369466,-56.61954592212163,216.566393158894,65.9567670871542,18.750783426038197,-74.84488642662572,11.670833446911017,42.56253740691298,-86.09930384134223,3
-122.0866055925782,13.200321618481414,47.21013252540337,17.88176744161149,-87.23604652761524,22.322605883942053,-16.346007721877235,-56.719595679514356,213.92638040709684,62.00055089318116,20.780834001548598,-73.45153125108158,7.996084971493913,36.091722698199035,-72.74197407966444,3
-121.0111492953884,15.197104811545671,49.320292213990356,21.682725572434425,-85.03437263069809,19.085013506361378,-16.425244579689256,-59.41924302432133,214.38223896724665,62.748350380341826,22.52694238112067,-75.74640422567518,8.921827652539259,36.610584243315856,-64.49589621939752,3
-121.41374104318425,13.841324867786245,53.40280281441264,21.651854202739205,-88.00140998774451,16.068651822734115,-14.85226718111047,-61.572697497979775,209.55397089332862,62.00831502291119,29.070329636795975,-74.03928626221824,16.482546048123744,35.19495731626699,-64.13427373056851,3
-120.12723178605543,12.347244329882155,52.88708246277662,21.889442665065932,-95.17260558453366,14.255987983343342,-14.378360339955549,-71.83905004856824,212.70865116794997,59.30027881708908,25.15677103574521,-75.37098598672904,11.36415896049719,34.261212316116605,-63.344592584287305,3
-129.71201587198345,13.061050673685077,42.31046838060517,21.129567311826268,-91.6362478322594,26.14075624698212,-17.837447960944473,-61.69003867545318,219.410456999027,59.15838571359098,14.975223716856474,-78.68448849843887,14.82274447476412,35.529733601733334,-73.25532045396503,3
-131.06373717206952,19.140615020702135,49.69618906590213,12.85094408936483,-90.42637248845054,25.930420090643576,-20.590124444592856,-55.04067259484464,213.39705283939279,59.49733629567358,12.845782297997976,-73.48909772429441,12.828294658334402,36.51423664924506,-74.84181538727046,3
-112.28586494996642,10.575342146918036,49.80180528483967,21.278323695808258,-82.32355252576016,14.849761082069445,-12.061991874380945,-50.266510159604664,197.01203075534,57.14699471587529,17.958255503017448,-73.75845806272234,10.590845702188998,27.89214882684234,-61.72190406910698,4
-113.14343158418828,9.988000721432474,49.80850602783249,16.272406640717072,-77.86810625415612,16.818045321011752,-9.141308062689916,-53.1238518117876,194.896723068666,56.20854009450618,14.881500427729561,-68.0890498810328,5.898008260693022,24.706865367817404,-64.43270211008506,4
-116.72709997163338,11.412427453146808,47.140916640979455,17.21740315520923,-77.62331364326634,11.951214031569556,-13.78180036838168,-51.35783996909994,199.46463298548932,48.4655289004408,16.28534179046305,-65.73121795597196,9.99197735550292,28.77605683641848,-62.27609512866062,4
-114.00726425703681,11.480639512512269,45.98088495857885,20.873347204732884,-75.89993152332362,15.082194140316888,-11.593579019984544,-50.92260172898147,190.28165651284112,51.087078855529064,16.75734775066058,-65.70682393401094,9.36200961401232,30.566647842879387,-62.7423490133684,4
-109.85516912441345,10.507070860330765,50.16177760980384,17.528888306325207,-75.32492883562028,15.215380575454244,-8.53689734766652,-44.21091614547045,183.3091535200984,54.25801167650463,13.212846695914285,-61.120349717079435,10.061328778616666,23.624179872900747,-57.67290267148987,4
-110.21406834119202,4.759835598104699,47.77574130301096,10.997643339947,-67.8482189394053,6.665860037057311,-8.535262614040288,-39.985757481380304,183.3233059557916,48.3727596956296,11.07955701576441,-64.01686802692885,6.186407930533097,25.438315251638162,-53.14024907892155,4
-103.51656698994925,6.0788799653722325,44.063802094466006,14.64114691924013,-72.36536406584126,11.782508357067893,-4.524342532406232,-48.02151323753547,172.8425221241708,43.1903063085118,14.925122594411958,-61.44500746719673,5.635025440883066,24.915912146028617,-57.36813282024039,4
-110.9252344822393,2.66761175325874,42.81304396928988,16.220866705731133,-78.74987707000064,6.395321674465833,-0.3470871277468941,-48.37780812757686,175.98287127261807,49.362284435915655,15.492914034929518,-64.49230712414608,10.786602789025729,21.76270246350837,-58.16042823613998,4
-107.0967705896024,6.020141915488232,45.52134263306647,12.562227607530998,-87.3848060079867,-0.7214451673843065,8.34062476381675,-50.22459930760222,182.19849246092693,45.62956073166313,11.167008026886942,-71.69763841360859,12.419689375092569,22.50460269216608,-55.286639700629394,4
-116.96470975214916,4.115568592158665,42.23129946760872,18.525348344153194,-90.55523672914626,-3.4326456852248413,14.152558663017444,-54.06806367578292,194.98186392746564,56.90789973432361,11.043219782830619,-74.67236995498327,5.554388371324327,18.17836086240483,-54.31192941000319,4
-128.48852381202812,14.37331755711039,51.936471260425165,24.21773165659855,-98.69599712178099,9.025953291952964,-2.265192263617716,-65.28684232371678,216.44700024574948,61.357840461499606,22.2774422501182,-82.23385938501346,7.238971863700465,28.96735480806603,-71.20385038041445,3
-133.78236635163364,13.943225066459593,55.29862152661988,20.6832062931457,-95.56398748601467,20.09270386337974,-14.264136393564808,-61.01885929557067,227.60430689361394,62.0538408544237,20.2075423403088,-78.45524528525726,12.437931357654984,34.82859663332528,-74.00762760240366,3
-132.5294969923575,19.247583136192553,54.47834541167114,26.490495827689468,-93.78586316689433,16.719582791895025,-12.486192125429032,-59.28114026274328,215.12898298704232,72.02801631075732,20.369604053743238,-76.72032630802927,9.195845459805119,32.509800855193355,-70.61337276024834,3
-127.58720297523391,13.361296279109574,60.748191447663956,25.78568869731763,-97.68582135062863,13.026465730411743,-6.742684706466593,-60.19489756523032,216.79206928007275,67.3409559594915,22.682616521830674,-81.10964943182356,15.310938657160603,30.524834553816163,-69.1002856186151,3
-128.469656285689,6.599225681901546,54.756361834121236,21.723887381768613,-103.0089407898807,9.108662118698042,-4.631148210916704,-69.32979791896258,227.4101040096648,67.10780229276712,25.78609888332703,-83.1020526900275,13.00655378276837,30.322340587334534,-66.83397926364565,3
-141.1828078720517,7.434314538066287,50.24302113240955,19.66043925303301,-100.22731984267351,18.55867479597207,-12.96344759587504,-67.82160119355528,236.0706497352354,68.19070898506277,22.56984976603549,-87.74236919351867,4.785856530834858,34.52355241450286,-75.70529039668068,3
-135.82484381740895,15.635093995716101,52.399729169833904,23.867459960754083,-95.91794052617598,26.11864870134594,-16.615584899584803,-65.05258838240368,226.4827777879494,67.39023672398868,23.503226784621624,-83.69310788682017,3.7214240670458505,36.43758126087638,-78.24033318534845,3
-131.4792544377599,16.006192144298453,48.943179691278516,24.83651184245978,-96.01827994553202,24.24289225762032,-12.985092181068508,-71.49698950617335,223.355101407153,68.60047610914722,25.680670398562242,-85.31019498589185,8.642429415065214,33.49568231102008,-74.05413107566646,3
-136.16701260684695,19.70371244994366,56.09177868949652,21.87105431046773,-99.86869555784982,19.556747120523706,-11.23193094067846,-67.49985668708297,224.21888988883433,65.76144898583401,21.230425587516258,-80.38828488067698,10.67869710902407,37.0457381971403,-73.12985152196751,3
-135.90065670955704,16.627006234260428,56.43092516833886,21.41888353526483,-100.18407300549056,18.78752395262828,-10.297932041183206,-66.55269138281639,232.0462199444174,67.50346126497351,22.112817358704355,-82.35188797211228,10.966425130982776,33.742927085290816,-74.43514736610368,3
-139.3808984904872,13.557145963444853,54.44610111257623,20.08469416825216,-96.21678920929101,15.754119627585862,-10.477447946327263,-65.66838020469939,231.86601921807903,68.10213920506841,18.88631815168315,-81.40540696188184,8.752893467721892,32.85166175954028,-70.17356518393002,3
