@Relation RCATransformed
@attribute attr1 numeric
@attribute attr2 numeric
@attribute attr3 numeric
@attribute attr4 numeric
@attribute attr5 numeric
@attribute output {1,2,3,4,5,7}
@data
126.00232182174457,10.103537386182921,95.35487927228073,-66.52257786187563,-192.79676412699175,3
121.91205870188185,4.807645615141653,88.77715870284796,-57.72970914463914,-181.5743613853962,3
122.21740838571131,-0.2932469849697261,92.84625593538632,-60.55832938451158,-177.53908667318908,3
113.74660023463417,-4.840443367238019,97.83439838003751,-57.19942224874475,-171.09142099800653,3
112.8274446161073,-2.418067882934661,100.31887158487687,-61.37336380516089,-171.76020395651366,3
120.14009457682391,-7.656799432957319,101.785007107286,-56.50681787859564,-168.59480070141754,3
122.70946163625796,-5.089123136620951,94.35762638789899,-65.43559446602062,-168.39627253676585,3
118.61052265428062,-1.4166128379611491,86.51729565200344,-67.20059062028629,-165.22593054778358,3
111.76492500216655,-1.2557195254687468,79.85492697544,-56.88761106130615,-161.05757281223148,4
116.53734129063845,-2.4020663979863714,78.01565231326208,-56.956668973338495,-154.50489324718103,4
113.40533773021671,-1.371202642585418,83.40297721139868,-62.36341209500787,-161.85790185963847,4
107.31706614692482,-0.03308557727446004,82.03957809255179,-54.64500296112225,-157.69634011642182,4
106.91392343172407,3.69961698682562,74.01730447104984,-56.91076577140458,-151.69835798462628,4
104.22976869069856,-0.6944842678861365,75.61404919481221,-57.65493003623433,-149.91322220728503,4
105.59561799012661,5.192425362805863,74.61231307421914,-53.95622599673558,-142.95547050461101,4
102.57553250574327,3.2575892673843843,76.29832227410208,-55.60439499625677,-149.23521601974537,4
111.13316316531879,-1.397435497208039,80.74446679360844,-60.34444704903065,-152.36427978910484,4
112.33873898819324,-9.026726536403643,83.77107895957458,-57.569232950671335,-155.31035277606756,4
120.74778184468964,-5.359041660636045,95.59596518543417,-66.25372199620662,-175.93749576497328,3
132.08572359557604,-0.27641563760601073,100.58499344196882,-70.91783787146898,-184.0626524069578,3
109.44269302977594,-1.5453311598202042,94.99215757035803,-67.37836557563719,-181.35404989586203,3
120.18569713875647,-2.510912937441205,94.15626246862388,-67.35464173172078,-190.03415000789383,3
134.3006667305698,-1.129131737292476,103.90902986950739,-61.56438682485778,-191.3715836112886,3
133.67922138044463,-3.245037990814475,104.98647888250164,-66.88819302736539,-189.20390431676185,3
119.42370727676102,-1.2001467012132636,98.31279508454104,-67.39711389066626,-191.18938051120503,3
121.79421584557664,1.3774086511827788,106.16604363629314,-65.95650967575787,-183.17509826045915,3
126.54119489370507,1.7290977158584333,102.20824939058058,-70.84435478253702,-184.70871305331556,3
131.73127987670094,-1.9083857177399999,100.99668033164959,-70.70538926729711,-185.08814029697288,3
133.14452726823612,-3.017347178975296,100.47521577329583,-68.32639684093503,-185.77871362284918,3
127.68542192596334,1.9464236765283367,95.63372022345128,-66.35506291758388,-189.32573715523654,3
126.67470091440931,2.385688152428049,102.07959884572288,-65.45613878068244,-186.279486075462,3
117.58749123280614,0.4135569055410002,98.13097044152703,-61.611116720320545,-187.42720188557408,3
124.93060733684854,-0.45432061169792703,98.64250659511201,-59.96134386297872,-183.79559631901276,3
117.6238205573587,4.726150976190511,94.65812347478008,-57.848797983505776,-180.0082166197195,3
121.49299860699242,2.0559839850787514,92.11129443835499,-65.0270972881393,-179.31980181488865,3
130.5060186860099,4.083216937503391,89.78937494461161,-65.9839131756207,-176.8224083227621,3
127.4590375505303,-0.4131332917167434,100.98260177057828,-59.25697820959702,-181.34382196226292,3
126.89488272424549,-1.2968422435166111,95.5147074989876,-64.89431337926544,-183.00860204427764,3
127.12126709967855,-0.616421695854239,93.05185793377133,-66.60260679272841,-185.93985539309708,3
126.93196793713274,5.590861701265632,93.43812911498829,-65.8056278303123,-182.69137211553812,3
126.97745500241015,2.4653927537980787,96.97639412190728,-66.47629561258637,-178.7191823275241,3
118.53828538695808,3.056093873028388,93.45696753837277,-66.81791073525089,-177.26117965047584,3
117.34650243938604,7.995619588378528,91.87776838995717,-62.63409211756523,-169.01718265827844,3
108.44020924474972,6.7151023247471295,81.551250724681,-67.18856593641931,-163.11963347360413,5
96.0810924629867,8.625088562627187,80.65559142364475,-61.78313966630298,-162.16579829775776,5
86.0460359328317,-13.337699109605857,85.58379684038349,-53.82906024006904,-168.42659122682912,5
107.81403039437211,-6.161348977948504,84.89218946027657,-53.72091421621954,-166.30008146311542,7
112.98627763532731,8.280086124085887,74.08026402399994,-55.863800437543034,-155.8418144112139,7
89.09076219940718,5.516872193057057,79.32705950572844,-48.21490067616338,-142.43060537798837,7
83.68516214087344,7.2232058572879785,73.34966737103805,-50.304419794817434,-138.9180884865509,7
81.99330162308318,9.561369563798308,71.38634643800937,-54.378712529429414,-127.93560488261586,5
70.08162666404831,9.713611637112585,57.71810215619844,-57.0048784207295,-129.12707604020616,5
62.20514274767135,11.745208210626032,50.15372196028188,-56.07575649399444,-124.9306611932199,5
60.55716478266286,12.674238677203125,58.39986179134287,-53.393918489762875,-120.43634344585143,5
