@Relation ICATransformed
@attribute attr1 numeric
@attribute attr2 numeric
@attribute output {1,2,3,4,5,7}
@data
-0.6376819409013721,-0.0773124570494193,3
-0.040655795448030566,-0.24772732642535528,3
0.027448870763111193,-0.0976874522941132,3
0.3586634515310697,-0.02590092802583679,3
0.382954547387854,0.02020321445482315,3
0.08333956834850156,-0.3387415515762509,3
0.025733812462108464,0.4014709247682556,3
0.17871464155380612,0.18910165891448066,3
0.15259452383920233,0.022570172340029893,4
-0.17478616156183321,-0.045325657972001235,4
0.24891445807419915,-0.026059522581240967,4
0.07045097262987392,0.44970132186824596,4
0.323195679916486,0.30822625537514414,4
0.20547965479996871,0.32983934943656146,4
-0.21705375459518164,0.01042003485179658,4
0.37607434132269246,0.14031304586985754,4
-0.14254930144437913,-0.09259591674385836,4
-0.3458504123026663,-0.6814876346924174,4
-0.04464995888658713,0.01870663072258647,3
-0.1314125927107539,0.21942404795582787,3
0.645921012890098,0.3712410817636658,3
-0.32747866446153956,0.16940062244779713,3
-0.45693982333789973,-0.1828707639798226,3
-0.06899365058677828,0.040109473780807946,3
0.29787883954987676,0.29066437312614235,3
0.2917216500303181,0.3441501529574613,3
-0.1289951961474237,-0.11404725045299603,3
-0.007223114630480181,-0.02187606532094713,3
-0.13173573271419667,0.048077855951745116,3
-0.13163359943936753,-0.12582720594177246,3
0.15895062407269028,-0.24496881991825198,3
0.0742057696033261,0.03904585766709631,3
0.07944739188551536,-0.40662664884594973,3
-0.3173810990852385,-0.028258180329500122,3
0.13075029875913446,-0.10907881914558415,3
0.012802578703212393,-0.16973131807025754,3
0.06544747760326286,0.04366646347269723,3
0.16081809261470584,0.2912792847735943,3
-0.05894023509253408,-0.15211419571484386,3
0.06923315497481877,-0.053206647532833926,3
0.08267114866581571,0.28420691123723385,3
0.11554441041510016,-0.02775500741202369,3
0.23750802508767435,-0.023671975168440614,3
1.5661179225954789,-1.077234525435958,5
0.8207555361608628,-0.3723722842855949,5
-0.7290475363410038,1.4905854716009228,5
-0.6011765434086989,0.6700421115823775,7
-0.6023080518384291,-0.13598545884651353,7
-0.06672290263288758,0.2052930848211454,7
0.20370900955479865,-0.11436302820189387,7
0.9247683552216976,-1.135476188356829,5
0.584436176694185,-0.2395177779762329,5
-0.5019687282822874,0.4462526173129351,5
0.23879273085447886,-0.09426820142025019,5
-0.2251692309659778,-0.17153866826742525,3
-0.21510237307907829,-0.009511993411924888,3
-0.25251974124157744,-0.17172465235358494,3
-0.46623154588162563,-8.242590179154102E-4,3
0.05716041982174605,0.11265743574431299,3
0.18102230718521262,0.4502423147722048,3
