@Relation RCATransformed
@attribute attr1 numeric
@attribute attr2 numeric
@attribute output {1,2,3,4,5,7}
@data
121.85285473189698,108.76054980161909,3
107.32871599114668,99.63259594047423,3
103.4074793422996,96.8762742816499,3
103.94622406057547,101.98460493137873,3
102.25221786147668,105.97529740481893,3
98.86972593090547,107.86459172914648,3
108.40620542769844,112.92258998667224,3
108.40620542769844,107.50712819273801,3
98.68643222366703,99.66776137652117,4
99.40847064918134,92.85242735670485,4
103.90733803843989,95.1123813968638,4
92.10474206976303,91.40476015563313,4
95.30394029309579,86.52219687293544,4
99.40847064918134,83.4353752954304,4
87.42258097326605,83.3627438907269,4
88.0002117136775,92.505541611516,4
91.34381762211314,99.59899938149061,4
96.564723436886,102.53557965210945,4
102.79096257975256,117.66023378168425,3
116.19038447318823,111.8196836951951,3
111.65263106179408,115.2146425918229,3
114.81294326299128,115.28007062631896,3
106.7899712728708,113.14399911954997,3
116.95130892083813,112.57942690661945,3
112.807892542617,112.38101965778192,3
106.75108525073522,118.87784697886441,3
112.23026180220555,120.9644678856857,3
112.807892542617,120.63706102312592,3
116.91242289870254,114.88368378125193,3
116.91242289870254,108.37214814482068,3
106.82885729500639,110.99435684676595,3
106.21234053245935,111.29039728552165,3
106.75108525073522,105.72474177321676,3
102.86873462402372,99.20813317128147,3
106.21234053245935,105.77352243330907,3
107.32871599114668,105.27275154901476,3
108.08964043879658,106.72380973554209,3
107.90634673155813,114.05812226029705,3
116.7291291914641,108.84549058847617,3
112.26914782434113,103.05300372283594,3
107.36760201328227,103.6212534956316,3
112.23026180220555,98.98150839341493,3
98.90861195304105,98.92593084207381,3
102.79096257975256,86.3150862948657,5
98.68643222366703,77.99353448301414,5
77.33622035475773,116.76963285004727,5
90.14967011915464,109.40892134797093,7
102.79096257975256,75.69825115396307,7
82.38496886573161,79.2367784706264,7
77.84721545433749,84.12422383108122,7
86.26731949244314,76.16302373195415,5
85.2175796745875,76.79036592323526,5
76.72942509774458,70.88953833602271,5
71.94174233828029,78.19716018905503,5
134.97318276066082,120.37420117920607,3
119.45901335216486,118.29303955205107,3
105.51250535182601,100.1009833358119,3
104.93487461141456,95.07718807121876,3
104.93487461141456,106.46952756143871,3
109.93360069681339,117.73952869987919,3
120.31432305934258,118.70234878766209,3
120.35320908147816,111.88687065322344,3
121.07524750699248,96.56102198512322,3
100.39712120002041,96.46630841154521,4
104.89598858927897,90.18893049987173,4
104.85710256714339,93.3145028780447,4
101.51349665870774,92.47942140152139,4
100.93586591829629,89.61604295861319,4
88.11407476527208,80.61596381964132,4
88.11407476527208,82.33248669476582,4
87.71001622656517,84.87804811278441,4
88.11407476527208,88.35001328385954,4
92.11308345839034,112.5366093151134,4
105.43473330755484,109.85228671559247,3
105.51250535182601,117.93014514551207,3
119.27571964492641,114.35614245635867,3
115.09621225938187,106.74794532524422,3
108.85611126026163,113.49363628181955,3
104.39612989313868,115.5672502041299,3
113.79654309345608,120.1335208926179,3
119.99775807044074,118.17508655488467,3
123.91899471928782,115.59021700198437,3
129.26210497428258,117.77884583493166,3
119.45901335216486,111.49231927521242,3
114.55746754110599,112.89476776069995,3
113.79654309345608,113.08241825968436,3
113.16199821774683,111.77259652472833,3
119.45901335216486,107.96668773585935,3
113.83542911559167,109.95044318801368,3
118.73697492665053,112.83252074556812,3
119.27571964492641,107.34119326854703,3
119.27571964492641,105.01645773588592,3
108.89499728239721,113.58810786846942,3
108.89499728239721,110.76607839709845,3
104.93487461141456,105.18788705295034,3
109.43374200067309,100.30261263141635,3
104.39612989313868,97.90305155610069,3
108.85611126026163,107.16121633510981,3
113.79654309345608,108.3049275496521,3
114.37417383386754,104.39839150011208,3
108.89499728239721,100.85935340170039,3
113.79654309345608,102.6794917648788,3
101.01363796256746,97.5278582220222,3
95.89825381076187,99.16847105769007,3
99.87640459490676,114.27824935544545,3
100.39712120002041,89.8481936697846,7
100.39712120002041,75.6237083616457,7
87.13238548615372,81.90377324999044,7
83.21114883730664,71.57819911155873,7
79.28991218845954,75.17347497811365,5
79.11633998675498,70.98427018087449,5
79.18297562758669,79.76699569299998,5
74.18283464428228,80.06795102101839,5
70.26159799543518,73.3635332038932,5
69.85753945672828,68.89238618811848,5
130.61038166787785,110.1566429333126,3
142.308836090494,111.08133811844668,3
135.8188057433036,123.31654088117578,3
114.91291855214342,119.71659055503471,3
104.93487461141456,105.28690089456283,3
104.93487461141456,104.42969679946447,3
105.51250535182601,108.42648323214085,3
111.66511280114116,108.83734127513439,3
106.18593624967085,99.43238107400708,3
106.18593624967085,97.08046731965484,4
101.10943812000083,93.50904090674914,4
101.10943812000083,90.6019919924766,4
101.64818283827671,91.18281929119388,4
93.09201250369551,83.55557162520321,4
96.57168470860671,87.90048888051811,4
93.6307572219714,87.7957914844814,4
90.24826529140019,86.11399366607867,4
80.67289977247162,92.94510106952067,2
80.67289977247162,107.17533618783871,2
85.13288113959459,118.09254099141312,2
105.6083055092594,106.13889622934819,2
113.7576570713205,111.89660417189835,3
109.8364204224734,114.52872154393157,3
110.41405116288486,109.0743710327831,3
